M,a,Lambda,deflection_deg,status,execution_time_sec
1.0,0.0,0.0,63.01257023689823,Scattered,6.8454811573028564
1.0,0.0,1e-08,63.01258229582546,Scattered,6.294878244400024
1.0,0.0,5e-08,63.01263053155457,Scattered,6.3305909633636475
1.0,0.0,1e-07,63.0126908262589,Scattered,6.936183929443359
1.0,0.0,5e-07,63.013173185710194,Scattered,6.637967109680176
1.0,0.0,1e-06,63.01377613952484,Scattered,6.516724109649658
1.0,0.0,5e-06,63.01859995084151,Scattered,6.43314266204834
