M,a,Lambda,deflection_deg,status,execution_time_sec
1.0,0.2,0.0,57.61045165449216,Scattered,7.243863582611084
1.0,0.2,1e-08,57.61050172847267,Scattered,7.569082260131836
1.0,0.2,5e-08,57.61070224442095,Scattered,8.038851022720337
1.0,0.2,1e-07,57.61095338693255,Scattered,8.004668235778809
1.0,0.2,5e-07,57.61298293980675,Scattered,8.103076934814453
1.0,0.2,1e-06,57.6155735420425,Scattered,7.14211368560791
1.0,0.2,5e-06,57.639234253213885,Scattered,7.038205146789551
