M,a,Lambda,deflection_deg,status,execution_time_sec
1.0,0.8,0.0,46.47463903150643,Scattered,7.916201114654541
1.0,0.8,1e-08,46.474805760040155,Scattered,7.882744550704956
1.0,0.8,5e-08,46.47547355422562,Scattered,7.9636759757995605
1.0,0.8,1e-07,46.47631028715694,Scattered,7.730461597442627
1.0,0.8,5e-07,46.483085797470416,Scattered,8.171826601028442
1.0,0.8,1e-06,46.49176981927845,Scattered,8.279258251190186
1.0,0.8,5e-06,46.57298514429683,Scattered,7.51723051071167
