M,a,Lambda,deflection_deg,status,execution_time_sec
1.0,0.99,0.0,43.914879599986094,Scattered,7.1348817348480225
1.0,0.99,1e-08,43.91508362975653,Scattered,8.684818506240845
1.0,0.99,5e-08,43.91590083789735,Scattered,7.575629234313965
1.0,0.99,1e-07,43.91692481093813,Scattered,7.204468488693237
1.0,0.99,5e-07,43.92521763298746,Scattered,7.852658271789551
1.0,0.99,1e-06,43.93584926933987,Scattered,8.610657215118408
1.0,0.99,5e-06,44.03543448150109,Scattered,7.091875314712524
