tau,r,phi,X,Y,H
0.0,500.0,0.0,500.0,0.0,-0.0
0.004897346924628341,499.99510312976946,1.3715843810042194e-07,499.99510312976474,6.857854740313835e-05,2.395861908773823e-16
0.05387081617091176,499.9461344279767,1.5088906143075506e-06,499.9461344274075,0.0007543640298974287,-1.1988704267970774e-16
0.5436055086337459,499.45644746137555,1.5241007981849562e-05,499.45644740336655,0.007612219702050346,1.8124663153228089e-16
1.043605508633746,498.9564962840927,2.9288774254538685e-05,498.9564960700822,0.014613824180410993,1.2180355753846535e-16
1.543605508633746,498.4565452045769,4.336472353963096e-05,498.4565447359033,0.021615430272541408,1.841772614905811e-16
2.043605508633746,497.95659422312224,5.746894072904436e-05,497.95659340082676,0.028617037983293257,6.188751344777734e-17
2.543605508633746,497.45664334002373,7.1601511055962e-05,497.45664206484923,0.035618647317537645,1.2477420507162138e-16
3.043605508633746,496.9566925555778,8.576252009654864e-05,496.95669072796744,0.04262025828016526,-1.2578246634757861e-16
3.543605508633746,496.4567418700818,9.995205377167748e-05,496.45673939017786,0.049621870876086396,-0.0
4.043605508633746,495.9567912838346,0.00011417019834866745,495.95678805147736,0.0566234851102311,-6.391330328231076e-17
4.543605508633746,495.45684079713595,0.000128417040443031,495.45683671186237,0.06362510098754925,-0.0
5.043605508633746,494.95689041028703,0.0001426926670202326,494.95688537132963,0.07062671851301075,-1.9486229186418502e-16
5.543605508633746,494.4569401235902,0.00015699716539745756,494.45693402987564,0.07762833769160542,-1.3096326952307197e-16
6.043605508633746,493.95698993734896,0.0001713306232453921,493.95698268749715,0.08462995852834333,-6.601399708563015e-17
6.543605508633746,493.4570398518681,0.0001856931285900137,493.45703134419057,0.09163158102825471,-3.3275616670119043e-16
7.043605508633746,492.95708986745365,0.00020008476981439287,492.9570799999525,0.09863320519639021,-6.709339315498192e-17
7.543605508633746,492.45713998441283,0.00021450563566050541,492.4571286547795,0.1056348310378209,-4.058431602956171e-16
8.043605508633746,491.95719020305415,0.0002289558152310561,491.957177308668,0.11263645855763842,-3.4096342386220175e-16
8.543605508633746,491.4572405236874,0.00024343539799131318,491.4572259616146,0.11963808776095504,-2.7499967457600993e-16
9.043605508633746,490.9572909466236,0.00025794447377095446,490.95727461361565,0.12663971865290383,-2.772491209091779e-16
9.543605508633746,490.4573414721749,0.00027248313276592424,490.45732326466776,0.13364135123863868,-2.0963946600972055e-16
10.043605508633746,489.95739210065494,0.000287051465540302,489.95737191476724,0.14064298552333448,-3.5226298522099005e-16
10.543605508633746,489.45744283237855,0.0003016495630281822,489.4574205639106,0.14764462151218724,-4.261839541274366e-16
11.043605508633746,488.9574936676618,0.00031627751653556606,488.9574692120942,0.1546462592104141,-3.580703110576216e-16
11.543605508633746,488.4575446068222,0.0003309354177422644,488.45751785931446,0.16164789862325357,-5.776228920462034e-16
12.043605508633746,487.95759565017835,0.0003456233587038126,487.9575665055679,0.16864953975596547,-4.3678267449511056e-16
12.543605508633746,487.4576467980503,0.00036034143185339714,487.45761515085064,0.17565118261383122,-5.871749686593973e-16
13.043605508633746,486.95769805075935,0.0003750897300037941,486.95766379515914,0.1826528272021538,-3.700109714137776e-16
13.543605508633746,486.45774940862816,0.00038986834634931964,486.4577124384897,0.18965447352625797,-3.7306569719289305e-16
14.043605508633746,485.9578008719807,0.00040467737446779227,485.9577610808386,0.19665612159149037,-7.522976462408948e-17
14.543605508633746,485.45785244114217,0.00041951690832250753,485.4578097222022,0.20365777140321945,-7.585212857404083e-17
15.043605508633746,484.9579041164393,0.0004343870422642249,484.95785836257676,0.21065942296683593,-1.5296058138389417e-16
15.543605508633746,484.45795589820005,0.0004492878710331667,484.45790700195846,0.21766107628775258,-3.0845724423359874e-16
16.043605508633746,483.95800778675374,0.0004642194897610296,483.9579556403436,0.22466273137140452,-1.5550850087898956e-16
16.543605508633746,483.45805978243106,0.0004791819939730088,483.45800427772826,0.23166438822324928,-2.3520051088612155e-16
17.043605508633746,482.9581118855641,0.0004941754795898341,482.95805291410886,0.23866604684876694,-7.905213278888066e-17
17.543605508633746,482.45816409648626,0.0005092000429298197,482.45810154948134,0.24566770725346018,-7.971020079433478e-17
18.043605508633746,481.9582164155324,0.0005242557807109253,481.9581501838421,0.2526693694428544,-3.2149775162569526e-16
18.543605508633746,481.45826884303864,0.000539342790052832,481.4581988171871,0.2596710334224981,-2.431347253476496e-16
19.043605508633746,480.95832137934264,0.0005544611684790289,480.95824744951256,0.2666726991979625,-8.172167748529803e-17
19.543605508633746,480.4583740247834,0.0005696110139189147,480.4582960808145,0.27367436677484214,-0.0
20.043605508633746,479.95842677970126,0.0005847924247099109,479.958344711089,0.28067603615875464,-0.0
20.543605508633746,479.4584796444381,0.0006000054995995896,479.45839334033224,0.28767770735534115,-1.6758087490440058e-16
21.043605508633746,478.95853261933723,0.0006152503377478132,478.9584419685402,0.2946793803702662,-0.0
21.543605508633746,478.45858570474326,0.0006305270387288891,478.4584905957089,0.30168105520921795,-1.704046602579496e-16
22.043605508633746,477.9586389010023,0.0006458357025337359,477.9585392218343,0.30868273187790823,-2.5775489693604803e-16
22.543605508633746,477.4586922084619,0.0006611764295720656,477.45858784691245,0.3156844103820728,-2.5992312969633566e-16
23.043605508633746,476.95874562747116,0.0006765493206745774,476.95863647093927,0.32268609072747134,-3.4948253681649743e-16
23.543605508633746,476.45879915838054,0.0006919544770951667,476.45868509391073,0.32968777291988766,-1.762142880722463e-16
24.043605508633746,475.958852801542,0.0007073920005131472,475.95873371582275,0.3366894569651298,-3.554025828260541e-16
24.543605508633746,475.4589065573089,0.0007228619930354874,475.4587823366713,0.34369114286903013,-4.480060652065391e-16
25.043605508633746,474.95896042603624,0.0007383645571990614,474.95883095645206,0.3506928306374455,-3.6143568289950426e-16
25.543605508633746,474.4590144080804,0.0007538997959729135,474.4588795751611,0.35769452027625737,-4.556192215542215e-16
26.043605508633746,473.9590685037993,0.0007694678127605371,473.9589281927942,0.36469621179137185,-5.513763613988598e-16
26.543605508633746,473.45912271355235,0.0007850687114021687,473.4589768093471,0.3716979051887202,-3.7070258326883653e-16
27.043605508633746,472.95917703770044,0.0008007025961770957,472.9590254248157,0.3786996004742583,-6.542387550393714e-16
27.543605508633746,472.4592314766061,0.0008163695718059793,472.45907403919574,0.3857012976539676,-3.770289591928075e-16
28.043605508633746,471.9592860306333,0.0008320697434531916,471.959122652483,0.3927029967338543,-4.752970370325632e-16
28.543605508633746,471.45934070014755,0.0008478032167291688,471.45917126467316,0.3997046977199504,-1.917385262457248e-16
29.043605508633746,470.959395485516,0.0008635700976927777,470.959219875762,0.4067064006183132,-2.900606667111504e-16
29.543605508633746,470.4594503871072,0.0008793704928536986,470.4592684857452,0.4137081054350258,-9.751236766757887e-17
