M,a,Lambda,deflection_deg,status,execution_time_sec
1.0,0.6,0.0,49.58024112524885,Scattered,6.714019536972046
1.0,0.6,1e-08,49.580368718783426,Scattered,8.259252071380615
1.0,0.6,5e-08,49.58087975296493,Scattered,8.20218563079834
1.0,0.6,1e-07,49.58152003834703,Scattered,7.61936092376709
1.0,0.6,5e-07,49.58670355684493,Scattered,7.6214680671691895
1.0,0.6,1e-06,49.59334393112558,Scattered,6.9462361335754395
1.0,0.6,5e-06,49.6552743173096,Scattered,8.314786434173584
